Assigned To Group,Month,Tickets Opened
LQ DSL,14-Jan,1385.0
LQ DSL,14-Feb,1471.0
LQ DSL,14-Mar,1592.0
LQ DSL,14-Apr,1906.0
LQ DSL,14-May,2153.0
LQ DSL,14-Jun,2560.0
LQ DSL,14-Jul,2802.0
LQ DSL,14-Aug,2426.0
LQ DSL,14-Sep,2207.0
LQ DSL,14-Oct,2101.0
LQ DSL,14-Nov,1671.0
LQ DSL,14-Dec,1732.0
LQ DSL,15-Jan,2866.0
LQ DSL,15-Feb,2386.0
LQ DSL,15-Mar,2713.0
LQ DSL,15-Apr,2350.0
LQ DSL,15-May,2731.0
LQ DSL,15-Jun,3050.0
LQ DSL,15-Jul,3232.0
LQ DSL,15-Aug,4864.0
LQ DSL,15-Sep,3513.0
LQ DSL,15-Oct,2084.0
LQ DSL,15-Nov,2470.0
LQ DSL,15-Dec,2047.0
LQ DSL,16-Jan,2257.0
LQ DSL,16-Feb,2271.0
LQ DSL,16-Mar,2491.0
LQ DSL,16-Apr,2690.0
LQ DSL,16-May,2918.0
LQ DSL,16-Jun,2766.0
LQ DSL,16-Jul,2415.0
LQ DSL,16-Aug,1779.0
LQ DSL,16-Sep,1492.0
LQ DSL,16-Oct,1318.0
LQ DSL,16-Nov,942.0
LQ DSL,16-Dec,1155.0
LQ DSL,17-Jan,1088.0
LQ DSL,17-Feb,1032.0
LQ DSL,17-Mar,1275.0
LQ DSL,17-Apr,1523.0
LQ ETH,14-Jan,3978.0
LQ ETH,14-Feb,3498.0
LQ ETH,14-Mar,3702.0
LQ ETH,14-Apr,3944.0
LQ ETH,14-May,3828.0
LQ ETH,14-Jun,7153.0
LQ ETH,14-Jul,7580.0
LQ ETH,14-Aug,4420.0
LQ ETH,14-Sep,4725.0
LQ ETH,14-Oct,4933.0
LQ ETH,14-Nov,3953.0
LQ ETH,14-Dec,3807.0
LQ ETH,15-Jan,4351.0
LQ ETH,15-Feb,2583.0
LQ ETH,15-Mar,4078.0
LQ ETH,15-Apr,5451.0
LQ ETH,15-May,7027.0
LQ ETH,15-Jun,7080.0
LQ ETH,15-Jul,6456.0
LQ ETH,15-Aug,10500.0
LQ ETH,15-Sep,9183.0
LQ ETH,15-Oct,9073.0
LQ ETH,15-Nov,9435.0
LQ ETH,15-Dec,11716.0
LQ ETH,16-Jan,12596.0
LQ ETH,16-Feb,8870.0
LQ ETH,16-Mar,17274.0
LQ ETH,16-Apr,11228.0
LQ ETH,16-May,12996.0
LQ ETH,16-Jun,8523.0
LQ ETH,16-Jul,7930.0
LQ ETH,16-Aug,9276.0
LQ ETH,16-Sep,7252.0
LQ ETH,16-Oct,9369.0
LQ ETH,16-Nov,23851.0
LQ ETH,16-Dec,10967.0
LQ ETH,17-Jan,8683.0
LQ ETH,17-Feb,11930.0
LQ ETH,17-Mar,6588.0
LQ ETH,17-Apr,7048.0
LC DSL,14-Jan,11008.0
LC DSL,14-Feb,9050.0
LC DSL,14-Mar,8586.0
LC DSL,14-Apr,7696.0
LC DSL,14-May,7717.0
LC DSL,14-Jun,7796.0
LC DSL,14-Jul,8236.0
LC DSL,14-Aug,7734.0
LC DSL,14-Sep,7087.0
LC DSL,14-Oct,6794.0
LC DSL,14-Nov,6724.0
LC DSL,14-Dec,6486.0
LC DSL,15-Jan,6484.0
LC DSL,15-Feb,6756.0
LC DSL,15-Mar,6962.0
LC DSL,15-Apr,7999.0
LC DSL,15-May,8443.0
LC DSL,15-Jun,8187.0
LC DSL,15-Jul,7237.0
LC DSL,15-Aug,6546.0
LC DSL,15-Sep,6075.0
LC DSL,15-Oct,5902.0
LC DSL,15-Nov,5448.0
LC DSL,15-Dec,5577.0
LC DSL,16-Jan,5263.0
LC DSL,16-Feb,4521.0
LC DSL,16-Mar,5049.0
LC DSL,16-Apr,4711.0
LC DSL,16-May,5178.0
LC DSL,16-Jun,5530.0
LC DSL,16-Jul,7767.0
LC DSL,16-Aug,6253.0
LC DSL,16-Sep,5590.0
LC DSL,16-Oct,5639.0
LC DSL,16-Nov,4777.0
LC DSL,16-Dec,5064.0
LC DSL,17-Jan,4982.0
LC DSL,17-Feb,4289.0
LC DSL,17-Mar,4874.0
LC DSL,17-Apr,4520.0
LC ETH,14-Jan,667.0
LC ETH,14-Feb,628.0
LC ETH,14-Mar,612.0
LC ETH,14-Apr,582.0
LC ETH,14-May,1058.0
LC ETH,14-Jun,583.0
LC ETH,14-Jul,676.0
LC ETH,14-Aug,824.0
LC ETH,14-Sep,793.0
LC ETH,14-Oct,814.0
LC ETH,14-Nov,984.0
LC ETH,14-Dec,691.0
LC ETH,15-Jan,564.0
LC ETH,15-Feb,793.0
LC ETH,15-Mar,713.0
LC ETH,15-Apr,726.0
LC ETH,15-May,803.0
LC ETH,15-Jun,644.0
LC ETH,15-Jul,925.0
LC ETH,15-Aug,648.0
LC ETH,15-Sep,707.0
LC ETH,15-Oct,565.0
LC ETH,15-Nov,390.0
LC ETH,15-Dec,472.0
LC ETH,16-Jan,678.0
LC ETH,16-Feb,824.0
LC ETH,16-Mar,1181.0
LC ETH,16-Apr,1001.0
LC ETH,16-May,716.0
LC ETH,16-Jun,776.0
LC ETH,16-Jul,704.0
LC ETH,16-Aug,741.0
LC ETH,16-Sep,639.0
LC ETH,16-Oct,730.0
LC ETH,16-Nov,768.0
LC ETH,16-Dec,886.0
LC ETH,17-Jan,1128.0
LC ETH,17-Feb,956.0
LC ETH,17-Mar,1053.0
LC ETH,17-Apr,892.0
